test	location	operator	alfa	nodeType	precision	station	class	measureType	orig_analyzedSamples	orig_discardedSamples	orig_lowerLimit	orig_maxSamples	orig_meanValue	orig_successful	orig_upperLimit	mut_analyzedSamples	mut_discardedSamples	mut_lowerLimit	mut_maxSamples	mut_meanValue	mut_successful	mut_upperLimit	timeoutMut
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01		0.03			System Response Time	61440.0	205	6.574721441082283	500000	6.691786634405713	true	6.808851827729144	35840.0	475	6.567557128531251	500000	6.705218541340018	true	6.842879954148784	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01		0.03		Class0	System Response Time	61440.0	230	5.680004110619933	500000	5.786039945094035	true	5.892075779568136	40960.0	275	5.665571406037696	500000	5.809990363986145	true	5.954409321934595	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01		0.03		Class1	System Response Time	51200.0	770	6.189404736684263	500000	6.294000996904025	true	6.398597257123787	61440.0	190	6.1974415576039386	500000	6.316304167836329	true	6.43516677806872	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01		0.03		Class2	System Response Time	20480.0	270	7.897265539009603	500000	8.137872072954453	true	8.378478606899302	35840.0	5	7.995876658638052	500000	8.120686217714642	true	8.245495776791232	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01	station	0.03	WebServer		Utilization	266240.0	0	0.06862303933459502	500000	0.07040619365740658	true	0.07218934798021814	225280.0	420	0.0692245507036566	500000	0.07093694807749375	true	0.0726493454513309	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01	station	0.03	WebServer	Class0	Utilization	327680.0	235	0.023442669482159145	500000	0.023936683373544973	true	0.0244306972649308	286720.0	0	0.023629673279451785	500000	0.024150011712344294	true	0.024670350145236802	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01	station	0.03	WebServer	Class1	Utilization	204800.0	330	0.012129587511737648	500000	0.012419817476531049	true	0.01271004744132445	204800.0	610	0.01199206829092929	500000	0.012287751003817888	true	0.012583433716706487	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01	station	0.03	WebServer	Class2	Utilization	122880.0	210	0.033197558317004154	500000	0.034127638250651196	true	0.03505771818429824	266240.0	1945	0.03346719254424287	500000	0.03425896343370362	true	0.03505073432316436	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01	station	0.03	Storage1		Utilization	112640.0	715	0.05045697073243069	500000	0.05187389142907767	true	0.053290812125724646	81920.0	120	0.050588366519295214	500000	0.052040364572795844	true	0.053492362626296475	false
class0-0.2-class1-0.125-class2-0.142857142857-Class1-half	WebServer	ChangeQueueingStrategy	0.01	station	0.03	Storage1	Class0	Utilization	122880.0	320	0.02141368572966804	500000	0.022008852842108673	true	0.022604019954549307	163840.0	1150	0.02152804448630741	500000	0.021977827923849263	true	0.022427611361391115	false
