measureDescr	ChangeQueueSize_Disk 1	ChangeQueueSize_Disk 2	ChangeQueueSize_Disk 3	ChangeNumberServers_Disk 1	ChangeNumberServers_Disk 2	ChangeNumberServers_Disk 3	ChangeNumberServers_Web Server 1	ChangeNumberServers_Web Server 2	ChangeNumberServersM1_Disk 1	ChangeNumberServersM1_Disk 2	ChangeNumberServersM1_Disk 3	ChangeNumberServersM1_Web Server 1	ChangeNumberServersM1_Web Server 2	ChangeNumberServersP_Disk 1	ChangeNumberServersP_Disk 2	ChangeNumberServersP_Disk 3	ChangeNumberServersP_Web Server 1	ChangeNumberServersP_Web Server 2	ChangeNumberServersP1_Disk 1	ChangeNumberServersP1_Disk 2	ChangeNumberServersP1_Disk 3	ChangeNumberServersP1_Web Server 1	ChangeNumberServersP1_Web Server 2	ChangeQueueingStrategy_Disk 1	ChangeQueueingStrategy_Disk 2	ChangeQueueingStrategy_Disk 3	ChangeQueueingStrategy_Web Server 1	ChangeQueueingStrategy_Web Server 2	ChangeQueueSize_Web Server 1	ChangeQueueSize_Web Server 2	ChangeQueueSizeM1_Disk 1	ChangeQueueSizeM1_Disk 2	ChangeQueueSizeM1_Disk 3	ChangeQueueSizeM1_Web Server 1	ChangeQueueSizeM1_Web Server 2	ChangeQueueSizeP_Disk 1	ChangeQueueSizeP_Disk 2	ChangeQueueSizeP_Disk 3	ChangeQueueSizeP_Web Server 1	ChangeQueueSizeP_Web Server 2	ChangeQueueSizeP1_Disk 1	ChangeQueueSizeP1_Disk 2	ChangeQueueSizeP1_Disk 3	ChangeQueueSizeP1_Web Server 1	ChangeQueueSizeP1_Web Server 2
DR_Class1_Web Server 2	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
DR_NA_Disk 1	Inf ; Inf	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
DR_NA_Disk 2	0 ; 0	Inf ; Inf	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
DR_NA_Disk 3	0 ; 0	0 ; 0	Inf ; Inf	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
DR_NA_Web Server 1	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
DR_NA_Web Server 2	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
SDR_Class0_NA	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
SDR_Class1_NA	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
SDR_NA_NA	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
SRT_Class0_NA	-0.56 ; -0.56	0 ; 0	0.24 ; 0.24	-0.12 ; 0.43	-0.36 ; 0.46	0 ; 0.17	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
SRT_Class1_NA	0.62 ; 0.62	0.1 ; 0.1	0.52 ; 0.52	0 ; 0.46	-0.21 ; 1.39	-0.08 ; 1.35	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
SRT_NA_NA	-0.53 ; -0.53	0 ; 0	0 ; 0	0 ; 2.1	-1.09 ; 1.3	0 ; 0.99	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_Class0_Disk 1	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_Class0_Disk 2	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_Class0_Disk 3	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_Class0_Web Server 1	-0.91 ; -0.91	-0.19 ; -0.19	-0.61 ; -0.61	0 ; 3.34	0 ; 1.38	-0.19 ; 0.52	100 ; 101.41	0 ; 0	0 ; 0	0 ; 0	0 ; 0	11.11 ; 11.11	0 ; 0.71	-0.19 ; 0	0 ; 0.71	0 ; 0.71	-50.1 ; -50	-0.19 ; 0	0 ; 0.71	0 ; 0	-0.19 ; 0.71	-9.09 ; -8.45	-0.19 ; 0	-0.19 ; 0.71	-0.19 ; 0	-0.19 ; 0.71	0 ; 0	-0.19 ; 0	-0.19 ; 0.71	-0.19 ; 0.71	0 ; 0.71	0 ; 0.71	-0.19 ; 0.71	0 ; 0.71	0 ; 0.71	0 ; 0.71	-0.19 ; 0	-0.19 ; 0	-0.19 ; 0	-0.19 ; 0.71	0 ; 0.71	0 ; 0.71	0 ; 0	0 ; 0	0 ; 0.71
UTIL_Class0_Web Server 2	0.07 ; 0.07	-0.01 ; -0.01	0.01 ; 0.01	-1.55 ; 1.1	0 ; 1.03	-0.01 ; 0.74	0 ; 0.65	100 ; 100	0 ; 0	0 ; 0	0 ; 0	0 ; 0	11.11 ; 11.84	-0.01 ; 0	0 ; 0.65	0 ; 0.65	-0.01 ; 0	-50 ; -50	0 ; 0.65	0 ; 0	-0.01 ; 0.65	0 ; 0.65	-9.1 ; -9.09	-0.01 ; 0.65	-0.01 ; 0	-0.01 ; 0.65	0 ; 0	-0.01 ; 0	-0.01 ; 0.65	-0.01 ; 0.65	0 ; 0.65	0 ; 0.65	-0.01 ; 0.65	0 ; 0.65	0 ; 0.65	0 ; 0.65	-0.01 ; 0	-0.01 ; 0	-0.01 ; 0	-0.01 ; 0.65	0 ; 0.65	0 ; 0.65	0 ; 0	0 ; 0	0 ; 0.65
UTIL_Class1_Disk 1	-0.48 ; -0.48	0.69 ; 0.69	-0.26 ; -0.26	99.22 ; 101.08	-1.02 ; 0	0 ; 0.23	0 ; 0	0 ; 0	11.11 ; 11.11	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-50 ; -50	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-9.09 ; -9.09	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_Class1_Disk 2	-1.42 ; -1.42	0 ; 0	-0.9 ; -0.9	-2.02 ; 0.08	96.08 ; 100	-0.9 ; 0	0 ; 0	0 ; 0	0 ; 0	11.11 ; 11.11	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-50 ; -50	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-9.09 ; -9.09	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_Class1_Disk 3	-0.11 ; -0.11	0 ; 0	-0.98 ; -0.98	-2.41 ; 0	0 ; 0.36	99.73 ; 102.81	0 ; 0	0 ; 0	0 ; 0	0 ; 0	11.11 ; 11.11	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-50 ; -50	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-9.09 ; -9.09	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_Class1_Web Server 1	-0.11 ; -0.11	0.25 ; 0.25	2.41 ; 2.41	-0.08 ; 0.56	0 ; 0.35	-0.1 ; 1.09	100 ; 100	0 ; 0.35	0 ; 0.35	0 ; 0.35	0 ; 0	11.11 ; 11.5	0 ; 0	-0.44 ; 0.35	0 ; 0	0 ; 0.35	-50.22 ; -50	-0.44 ; 0.35	0 ; 0.35	0 ; 0	-0.44 ; 0.35	-9.09 ; -8.77	-0.44 ; 0	-0.44 ; 0.35	-0.44 ; 0	-0.44 ; 0.35	0 ; 0	-0.44 ; 0	-0.44 ; 0.35	-0.44 ; 0.35	0 ; 0	0 ; 0	-0.44 ; 0	0 ; 0.35	0 ; 0	0 ; 0.35	-0.44 ; 0	-0.44 ; 0.35	-0.44 ; 0	-0.44 ; 0	0 ; 0.35	0 ; 0.35	0 ; 0	0 ; 0	0 ; 0
UTIL_Class1_Web Server 2	0.24 ; 0.24	-0.29 ; -0.29	-0.15 ; -0.15	-0.07 ; 0.99	-1.93 ; 0.51	-0.92 ; 0.92	-0.81 ; 0	99.98 ; 100	-0.01 ; 0	-0.01 ; 0	0 ; 0	-0.01 ; 0	10.21 ; 11.11	-0.01 ; 1.01	-0.81 ; 0	-0.81 ; 0	0 ; 1.01	-50 ; -49.49	-0.81 ; 0	0 ; 0	-0.81 ; 1.01	-0.81 ; 0	-9.09 ; -8.17	-0.81 ; 1.01	0 ; 1.01	-0.81 ; 1.01	0 ; 0	0 ; 1.01	-0.81 ; 1.01	-0.81 ; 1.01	-0.81 ; 0	-0.81 ; 0	-0.81 ; 1.01	-0.81 ; 0	-0.81 ; 0	-0.81 ; 0	0 ; 1.01	-0.01 ; 1.01	0 ; 1.01	-0.81 ; 1.01	-0.81 ; 0	-0.81 ; 0	0 ; 0	0 ; 0	-0.81 ; 0
UTIL_NA_Disk 1	-0.48 ; -0.48	0.69 ; 0.69	-0.26 ; -0.26	99.22 ; 101.08	-1.02 ; 0	0 ; 0.23	0 ; 0	0 ; 0	11.11 ; 11.11	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-50 ; -50	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-9.09 ; -9.09	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_NA_Disk 2	-1.42 ; -1.42	0 ; 0	-0.9 ; -0.9	-2.02 ; 0.08	96.08 ; 100	-0.9 ; 0	0 ; 0	0 ; 0	0 ; 0	11.11 ; 11.11	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-50 ; -50	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-9.09 ; -9.09	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
UTIL_NA_Disk 3	-0.11 ; -0.11	0 ; 0	-0.98 ; -0.98	-2.41 ; 0	0 ; 0.36	99.73 ; 102.81	0 ; 0	0 ; 0	0 ; 0	0 ; 0	11.11 ; 11.11	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-50 ; -50	0 ; 0	0 ; 0	0 ; 0	0 ; 0	-9.09 ; -9.09	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0	0 ; 0
