test	location	operator	alfa	nodeType	precision	station	class	measureType	orig_analyzedSamples	orig_discardedSamples	orig_lowerLimit	orig_maxSamples	orig_meanValue	orig_successful	orig_upperLimit	mut_analyzedSamples	mut_discardedSamples	mut_lowerLimit	mut_maxSamples	mut_meanValue	mut_successful	mut_upperLimit	timeoutMut
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01		0.03			System Response Time	21760.0	17080	1.048581524247929	500000	1.072238644850512	true	1.0958957654530948	21760.0	17080	1.048581524247929	500000	1.072238644850512	true	1.0958957654530948	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01		0.03		Class0	System Response Time	64000.0	3945	0.9822043402978261	500000	0.9978382650376861	true	1.0134721897775463	64000.0	3945	0.9822043402978261	500000	0.9978382650376861	true	1.0134721897775463	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01		0.03		Class1	System Response Time	61440.0	0	1.1868632168445252	500000	1.203958489618443	true	1.2210537623923607	61440.0	0	1.1868632168445252	500000	1.203958489618443	true	1.2210537623923607	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Web Server 1		Utilization	40960.0	60	0.020073149209694087	500000	0.02050821828767565	true	0.02094328736565721	40960.0	60	0.020073149209694087	500000	0.02050821828767565	true	0.02094328736565721	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Web Server 1	Class0	Utilization	40960.0	55	0.01491633629441487	500000	0.015355014585203169	true	0.01579369287599147	40960.0	55	0.01491633629441487	500000	0.015355014585203169	true	0.01579369287599147	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Web Server 1	Class1	Utilization	61440.0	200	0.0048351981614253685	500000	0.004971614927868091	true	0.005108031694310813	61440.0	200	0.0048351981614253685	500000	0.004971614927868091	true	0.005108031694310813	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Web Server 2		Utilization	61440.0	450	0.019824211424940858	500000	0.02027971644158506	true	0.02073522145822926	61440.0	450	0.019824211424940858	500000	0.02027971644158506	true	0.02073522145822926	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Web Server 2	Class0	Utilization	51200.0	350	0.015003842630117819	500000	0.015391692112553425	true	0.01577954159498903	51200.0	350	0.015003842630117819	500000	0.015391692112553425	true	0.01577954159498903	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Web Server 2	Class1	Utilization	81920.0	0	0.004891701333127338	500000	0.005019511972509899	true	0.00514732261189246	81920.0	0	0.004891701333127338	500000	0.005019511972509899	true	0.00514732261189246	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Disk 1		Utilization	81920.0	300	0.01460589969769358	500000	0.01487628008574215	true	0.01514666047379072	81920.0	300	0.01460589969769358	500000	0.01487628008574215	true	0.01514666047379072	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Disk 1	Class0	Utilization	0.0	0	0.0	500000	0.0	true	0.0	0.0	0	0.0	500000	0.0	true	0.0	false
class1-0.2	Web Server 1	ChangeQueueingStrategy	0.01	station	0.03	Disk 1	Class1	Utilization	81920.0	300	0.01460589969769358	500000	0.01487628008574215	true	0.01514666047379072	81920.0	300	0.01460589969769358	500000	0.01487628008574215	true	0.01514666047379072	false
